date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.2004;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2004;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2004;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3939;3659;3155;2983;2253;1994;611;407;687;559;1600;1239;2239;2253;300;212;2524;2061;6448;5609;1161;1221;351;235;1432;1176;862;703;612;422;504;455
31.12.2004;China;Antrag auf einen Aufenthaltstitel gestellt;1;1;34;40;-;-;-;-;3;-;1;-;1;2;-;-;3;4;36;27;2;6;3;1;2;2;2;2;4;2;1;-
31.12.2004;China;Duldung;619;253;334;222;35;16;83;70;46;16;36;13;172;92;2;-;134;56;840;380;156;66;99;43;116;40;122;66;-;2;58;24
31.12.2004;China;Aufenthaltsgestattung;114;56;84;66;16;14;10;9;14;8;7;6;50;49;1;-;44;19;151;90;41;9;9;4;77;50;11;10;1;-;26;23
31.12.2004;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;324;215;407;240;196;114;68;44;34;27;56;55;416;289;8;9;129;74;581;347;168;70;15;14;139;75;44;28;23;11;97;28
31.12.2005;China;Freiz�gigkeit nach EU-Recht;23;68;39;78;8;22;-;1;-;2;6;10;15;47;3;-;1;22;33;89;9;23;1;3;1;9;2;4;5;10;1;2
31.12.2005;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1;1;1;2;4;1;-;-;-;-;-;-;1;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;1;-;-;-
31.12.2005;China;Unbefristeter Aufenthaltstitel;466;712;527;778;417;507;45;53;73;85;286;245;455;577;16;16;197;275;774;910;132;227;51;49;61;59;25;24;80;130;18;29
31.12.2005;China;Befristeter Aufenthaltstitel;4000;3732;3307;3219;2257;1983;543;371;638;536;1668;1360;2255;2359;277;181;2497;2065;6546;5720;1113;1168;344;260;1444;1167;880;732;622;399;478;456
